Name,SMILES,Total Molweight,cLogP,H-Acceptors,H-Donors,Total Surface Area,Relative PSA,Rotatable Bonds,Geroprotectors,Leadlikeness
"2-chloro-1,6,6-trimethyl-4-(propan-2-yl)-octahydro-1H-indene-1,3a,7a-triol",ClC1CC2(O)C(CC(C)(C)CC2(O)C1(O)C)C(C)C,290.829,2.2663,3.0,3.0,202.69,0.19389,1.0,1,True
"1H-indole-2,3-diol",OC=1NC=2C=CC=CC2C1O,149.149,1.359,3.0,3.0,110.13,0.36493,0.0,1,True
"4-hydroxy-5-methyl-1,2-dihydropyridin-2-one",O=C1C=C(O)C(=CN1)C,125.127,-0.4242,3.0,2.0,97.24,0.38667,0.0,1,True
3-bromobenzohydrazide,O=C(NN)C=1C=CC=C(Br)C1,215.05,0.708,3.0,2.0,129.62,0.30682,1.0,1,True
1H-pyrazole-3-carbonitrile,N#CC1=NNC=C1,93.0888,-0.5572,3.0,1.0,83.3,0.46242,0.0,1,True
"2,3-dihydro-1H-indol-3-one",O=C1C=2C=CC=CC2NC1,133.15,0.7843,2.0,1.0,102.73,0.23849,0.0,1,True
1-(2-aminoethyl)-1-hydroxy-1λ⁶-disulfen-1-one,O=S(=S)(O)CCN,141.215,-2.0802,3.0,2.0,99.43,0.72322,2.0,1,True
"3-methyl-1H-pyrrolo[3,2-b]pyridine",N1=CC=CC=2NC=C(C12)C,132.166,1.1645,2.0,1.0,108.45,0.23015,0.0,1,True
"3-methyl-2,3-dihydro-1,3-benzothiazole-2-thione",S=C1SC=2C=CC=CC2N1C,181.283,0.6777,1.0,0.0,132.52,0.37006,0.0,1,True
"3,5-dihydroxy-3-methylpentanenitrile",N#CCC(O)(C)CCO,129.158,0.0181,3.0,2.0,111.86,0.35544,3.0,1,True
"2-(1,2-diaminoprop-1-en-1-yl)phenol",OC=1C=CC=CC1C(N)=C(N)C,164.207,0.7371,3.0,3.0,131.83,0.33103,1.0,1,True
3-hydroxypentanamide,O=C(N)CC(O)CC,117.147,-0.3555,3.0,2.0,98.4,0.42083,3.0,1,True
"5-hydroxypentane-2,3-dione",O=C(C(=O)CCO)C,116.116,-0.6923,3.0,1.0,95.13,0.41186,3.0,1,True
"2-hydrazinylidene-3-methyl-2,3-dihydro-1,3-benzothiazole",N(N)=C1SC=2C=CC=CC2N1C,179.246,0.9968,3.0,1.0,131.3,0.3642,0.0,1,True
1-Pyrroline-2-Carboxylate,O=C(O)C1=NCCC1,113.116,-0.499,3.0,1.0,88.35,0.42615,1.0,1,True
"2-amino-4,5-difluorophenol",FC=1C=C(O)C(N)=CC1F,145.108,0.8382,2.0,2.0,100.83,0.28136,0.0,1,True
3-amino-2H-chromen-2-one,O=C1OC=2C=CC=CC2C=C1N,161.16,0.5998,3.0,1.0,120.74,0.31729,0.0,1,True
5-chloropyridin-2-amine,ClC1=CN=C(N)C=C1,128.562,0.9388,2.0,1.0,95.96,0.27345,0.0,1,True
"2-(4-hydroxy-3,5-dimethylcyclohexyl)-3-oxidopiperidin-1-ium-2-yl",[O-][C]1[CH][CH][CH][NH2+][C]1[C]2[CH][C]([C](O)[C]([CH]2)C)C,216.259,1.2477,3.0,3.0,85.89,0.43847,1.0,1,True
2-amino-2-cyclopropylacetic acid,O=C(O)C(N)C1CC1,115.131,-2.673,3.0,2.0,85.14,0.48638,2.0,1,True
"{6-chloroimidazo[2,1-b][1,3]thiazol-5-yl}methanol",ClC=1N=C2SC=CN2C1CO,188.638,0.8929,3.0,1.0,128.74,0.40687,1.0,1,True
"4-amino-2,6-difluorophenol",FC=1C=C(N)C=C(F)C1O,145.108,0.8382,2.0,2.0,100.83,0.28136,0.0,1,True
"3-(hydroxymethyl)-2,5-dihydrofuran-2-one",O=C1OCC=C1CO,114.1,-0.7821,3.0,1.0,86.33,0.41863,1.0,1,True
pyrazine-2-carbonitrile,N#CC1=NC=CN=C1,105.1,-0.4526,3.0,0.0,92.49,0.38383,0.0,1,True
(2-chlorophenyl)hydrazine,ClC=1C=CC=CC1NN,142.589,2.2281,2.0,2.0,108.66,0.246,1.0,1,True
"4-amino-3-ethyl-2,3-dihydroquinazoline-2-thione",S=C1N=C2C=CC=CC2=C(N)N1CC,205.284,0.992,3.0,1.0,162.94,0.35798,1.0,1,True
4-amino-2H-chromen-2-one,O=C1OC=2C=CC=CC2C(N)=C1,161.16,0.7174,3.0,1.0,120.74,0.31729,0.0,1,True
"3,6-dihydropyridine-3-carboxylic acid",O=C(O)C1C=NCC=C1,125.127,-0.4809,3.0,1.0,101.62,0.3705,1.0,1,True
5-aminoquinolin-8-ol,OC=1C=CC(N)=C2C=CC=NC12,160.176,0.9526,3.0,2.0,121.49,0.32381,0.0,1,True
"1,9,9a-trimethyl-1H,2H,3aH,4H,5H,7H,8H,9H,9aH,9bH-naphtho[2,1-b]furan-2,3a-diol",OC1OC2(O)CCC3=CCCC(C)C3(C)C2C1C,252.353,2.4644,3.0,2.0,183.05,0.19776,0.0,1,True
4-methoxyaniline,O(C1=CC=C(N)C=C1)C,123.154,0.9123,2.0,1.0,104.04,0.24289,1.0,1,True
"4-(3-fluorophenyl)-1,3-thiazol-2-amine",FC1=CC=CC(=C1)C=2N=C(SC2)N,194.233,2.4586,2.0,1.0,142.59,0.32681,1.0,1,True
"1,2,3,4-tetrahydroisoquinoline-1,3-dione",O=C1NC(=O)CC=2C=CC=CC12,161.16,0.7296,3.0,1.0,120.48,0.31159,0.0,1,True
"1-hydroxy-11a-methyl-1H,2H,3H,3aH,3bH,4H,5H,7H,8H,9H,11aH-cyclopenta[a]phenanthren-7-one",O=C1C=C2C(=C3C=CC4(C)C(O)CCC4C3CC2)CC1,270.371,2.9557,2.0,1.0,200.46,0.1304,0.0,1,True
"3-methyl-5-phenyl-4,5-dihydro-1H-pyrazole-1-carbothioamide",S=C(N)N1N=C(C)CC1C=2C=CC=CC2,219.311,1.7796,3.0,1.0,172.78,0.3376,1.0,1,True
"1,3-dimethylurea",O=C(NC)NC,88.1095,-0.6164,3.0,2.0,78.69,0.45698,0.0,1,True
"8,9-dihydroxy-1,2,3,4-tetrahydroanthracen-1-one",O=C1C2=C(O)C=3C(O)=CC=CC3C=C2CCC1,228.246,2.7686,3.0,2.0,166.09,0.23626,0.0,1,True
"4-methylpyridine-2,6-diol",OC=1N=C(O)C=C(C1)C,125.127,1.014,3.0,2.0,96.98,0.38327,0.0,1,True
N-hydroxy-4-methylbenzamide,O=C(NO)C1=CC=C(C=C1)C,151.164,0.9742,3.0,2.0,121.08,0.31054,1.0,1,True
N-[(furan-2-yl)methyl]formamide,O=CNCC=1OC=CC1,125.127,-0.1094,3.0,1.0,107.71,0.35846,2.0,1,True
"6'-(trifluoromethyl)-3'H-spiro[adamantane-2,4'-pyrimidin]-2'-amine",FC(F)(F)C=1N=C(N)NC2(C1)C3CC4CC(C3)CC2C4,285.312,2.0333,3.0,2.0,185.83,0.20578,1.0,1,True
pyridine-4-carboxamide,O=C(N)C=1C=CN=CC1,122.127,-0.254,3.0,1.0,98.29,0.39963,1.0,1,True
"2-amino-4,5,6,7-tetrahydro-1-benzothiophene-3-carbonitrile",N#CC1=C(SC2=C1CCCC2)N,178.258,2.0309,2.0,1.0,140.97,0.34894,0.0,1,True
"3-methylidene-2,3-dihydro-1H-indol-2-one",O=C1NC=2C=CC=CC2C1=C,145.161,0.7616,2.0,1.0,111.72,0.2193,0.0,1,True
2-chloro-2-fluoroacetamide,O=C(N)C(F)Cl,111.503,-0.6274,2.0,1.0,74.04,0.38236,1.0,1,True
"3-phenyl-4,5-dihydro-1H-pyrazole-1-carbothioamide",S=C(N)N1N=C(C=2C=CC=CC2)CC1,205.284,1.4864,3.0,1.0,161.78,0.36055,1.0,1,True
"(3,5-dimethylphenyl)thiourea",S=C(N)NC=1C=C(C=C(C1)C)C,180.274,1.8253,2.0,2.0,150.47,0.36373,1.0,1,True
N-(4-chlorophenyl)(methylsulfanyl)carbothioamide,S=C(SC)NC1=CC=C(Cl)C=C1,217.744,2.8391,1.0,1.0,162.6,0.35025,2.0,1,True
N-(adamantan-1-yl)morpholine-4-carbothioamide,S=C(NC12CC3CC(CC(C3)C1)C2)N4CCOCC4,280.435,2.091,3.0,1.0,209.48,0.25306,1.0,1,True
"3-[(thiophen-2-yl)methylidene]-2,3-dihydro-1H-indol-2-one",O=C1NC=2C=CC=CC2C1=CC=3SC=CC3,227.286,2.1323,2.0,1.0,169.38,0.26485,1.0,1,True
5-aminopentan-1-ol,OCCCCCN,103.164,0.0892,2.0,2.0,97.17,0.29196,4.0,1,True
"3,4-dihydro-2H-1,4-thiazin-3-one",O=C1NC=CSC1,115.156,-0.4721,2.0,1.0,86.96,0.48287,0.0,1,True
thiolane-2-carboxylic acid,O=C(O)C1SCCC1,132.183,0.3487,2.0,1.0,95.37,0.45748,1.0,1,True
"benzene-1,3-diamine",NC1=CC=CC(N)=C1,108.144,0.305,2.0,2.0,90.3,0.33821,0.0,1,True
"{6-methylimidazo[2,1-b][1,3]thiazol-5-yl}methanol",OCC1=C(N=C2SC=CN21)C,168.22,0.5874,3.0,1.0,125.58,0.4171,1.0,1,True
3-methyl-4-nitrosoaniline,O=NC1=CC=C(N)C=C1C,136.154,1.096,3.0,1.0,111.84,0.35604,1.0,1,True
3-(azaniumylmethyl)-5-methylhexanoate,O=C(O)CC(CN)CC(C)C,159.228,-1.0962,3.0,2.0,136.92,0.30244,5.0,1,True
"5-methyl-3,4-dihydro-2H-1,4-thiazin-3-one",O=C1NC(=CSC1)C,129.183,0.197,2.0,1.0,97.43,0.43098,0.0,1,True
pyrazolidin-3-one,O=C1NNCC1,86.0936,-1.8054,3.0,2.0,68.19,0.52735,0.0,1,True
Achyranthine,O=C(O)C1CCC(N)C1,129.158,-2.2737,3.0,2.0,98.9,0.41871,1.0,1,True
2-(thiophen-2-yl)acetic acid,O=C(O)CC=1SC=CC1,142.178,1.0094,2.0,1.0,107.06,0.43434,2.0,1,True
4-(methylamino)phenol,OC1=CC=C(C=C1)NC,123.154,0.9609,2.0,2.0,103.33,0.23769,1.0,1,True
(thiophen-2-yl)methanol,OCC=1SC=CC1,114.168,0.9289,1.0,1.0,89.31,0.37465,1.0,1,True
"quinoline-3,4-diol",OC1=CN=C2C=CC=CC2=C1O,161.16,1.2842,3.0,2.0,119.32,0.31152,0.0,1,True
1-Piperideine-6-Carboxylate,O=C(O)C1N=CCCC1,127.142,-0.1501,3.0,1.0,102.64,0.36682,1.0,1,True
2-amino-3-(thiophen-2-yl)propanoic acid,O=C(O)C(N)CC=1SC=CC1,171.219,-1.6826,3.0,2.0,128.08,0.48228,3.0,1,True
5-imino-2-methylcyclopent-1-en-1-ol,N=C1C(O)=C(C)CC1,111.143,0.2676,2.0,2.0,89.36,0.32117,0.0,1,True
"1-amino-2-(methylsulfanyl)-9,10-dihydroanthracene-9,10-dione",O=C1C=2C=CC=CC2C(=O)C3=C(N)C(SC)=CC=C13,269.323,2.8333,3.0,1.0,193.29,0.30441,1.0,1,True
2-hydroxy-4H-chromen-4-one,O=C1C=C(O)OC=2C=CC=CC12,162.144,1.5992,3.0,1.0,118.57,0.3048,0.0,1,True
[(2-methylphenyl)amino]thiourea,S=C(N)NNC=1C=CC=CC1C,181.262,1.9312,3.0,3.0,149.67,0.44224,2.0,1,True
[(hydroxymethyl)(methyl)phosphoryl]methanol,O=P(C)(CO)CO,124.075,-1.2985,3.0,2.0,89.75,0.48156,2.0,1,True
N-methyl-N'-(pyridin-2-yl)(methylsulfanyl)methanimidamide,N=1C=CC=CC1N=C(SC)NC,181.262,1.0563,3.0,1.0,148.46,0.34642,2.0,1,True
6-methylpyridin-2-amine,N=1C(N)=CC=CC1C,108.144,0.7307,2.0,1.0,92.8,0.28276,0.0,1,True
"{6-chloro-2H,3H-imidazo[2,1-b][1,3]thiazol-5-yl}methanol",ClC=1N=C2SCCN2C1CO,190.654,0.6007,3.0,1.0,128.26,0.37759,1.0,1,True
(thiophen-2-yl)methanethiol,SCC=1SC=CC1,130.235,1.7638,0.0,0.0,98.82,0.43483,1.0,1,True
"5-methyl-2-[(1,3-thiazol-2-yl)amino]phenol",OC1=CC(=CC=C1NC2=NC=CS2)C,206.268,2.8135,3.0,2.0,157.79,0.3542,2.0,1,True
"3,6-diphenylcyclohexane-1,2,4-triol",OC1CC(C=2C=CC=CC2)C(O)C(O)C1C=3C=CC=CC3,284.354,2.9845,3.0,3.0,214.83,0.18294,2.0,1,True
"2H-1,3-benzodioxol-4-amine",O1C2=CC=CC(N)=C2OC1,137.138,1.0937,3.0,1.0,102.04,0.34565,0.0,1,True
"(3,5-dimethylphenyl)hydrazine",NNC=1C=C(C=C(C1)C)C,136.197,2.3099,2.0,2.0,117.76,0.22699,1.0,1,True
3-methylcyclopent-2-ene-1-thione,S=C1C=C(C)CC1,112.196,1.2218,0.0,0.0,97.2,0.28807,0.0,1,True
2-methyl-4-nitrosoaniline,O=NC1=CC=C(N)C(=C1)C,136.154,1.096,3.0,1.0,111.84,0.35604,1.0,1,True
"1,8,12-triazatricyclo[7.4.0.0²,⁷]trideca-2,4,6,8-tetraene-13-thione",S=C1NCCC2=NC=3C=CC=CC3N12,203.268,1.9693,3.0,1.0,154.01,0.37205,0.0,1,True
2-chloro-6-methylpyridin-3-amine,ClC=1N=C(C=CC1N)C,142.589,1.0827,2.0,1.0,108.22,0.24247,0.0,1,True
"4-methyl-1,3-oxazole-5-carbonitrile",N#CC=1OC=NC1C,108.1,0.5195,3.0,0.0,95.68,0.40385,0.0,1,True
2-sulfanyl-1H-indole-3-carbaldehyde,O=CC1=C(S)NC=2C=CC=CC21,177.227,1.6707,2.0,1.0,132.83,0.37371,1.0,1,True
3-(1-hydroxyethyl)azetidin-2-one,O=C1NCC1C(O)C,115.131,-0.8038,3.0,2.0,86.58,0.43428,1.0,1,True
"[(2,6-dimethylphenyl)amino]thiourea",S=C(N)NNC=1C(=CC=CC1C)C,195.289,2.2751,3.0,3.0,161.93,0.40876,2.0,1,True
2-methylpyrrolidine-2-carboxylic acid,O=C(O)C1(NCCC1)C,129.158,-2.3145,3.0,2.0,99.51,0.37785,1.0,1,True
quinazolin-4-amine,N=1C=NC=2C=CC=CC2C1N,145.165,1.0874,3.0,1.0,113.9,0.32669,0.0,1,True
"4-(2-fluorophenyl)-1,3-thiazol-2-amine",FC=1C=CC=CC1C=2N=C(SC2)N,194.233,2.4586,2.0,1.0,142.59,0.32681,1.0,1,True
2-(dimethylamino)acetamide,O=C(N)CN(C)C,102.136,-1.4034,3.0,1.0,88.35,0.36061,2.0,1,True
Pycnarrhine,OC=1C=C2C(=CC1OC)CC[NH+](C)C2,194.253,-1.1471,3.0,2.0,166.25,0.24475,1.0,1,True
N-(4-chlorophenyl)-2-oxopropanethioamide,O=C(C(=S)NC1=CC=C(Cl)C=C1)C,213.688,1.8437,2.0,1.0,162.86,0.32236,2.0,1,True
"2,5-dimethylhex-3-yne-2,5-diol",OC(C#CC(O)(C)C)(C)C,142.197,1.1446,2.0,2.0,125.86,0.20817,1.0,1,True
"2-hydroxy-1,2,3,4-tetrahydronaphthalene-1,4-dione",O=C1C=2C=CC=CC2C(=O)C(O)C1,176.171,0.8627,3.0,1.0,127.87,0.3064,0.0,1,True
"4-methyl-5-phenyl-2-(piperidin-1-yl)-1,3,2λ⁵-oxazaphospholidine-2-thione",S=P1(OC(C=2C=CC=CC2)C(N1)C)N3CCCCC3,296.374,2.9022,3.0,1.0,222.81,0.25578,1.0,1,True
"3-benzyl-2-sulfanylidene-1,3-thiazolidin-4-one",O=C1N(C(=S)SC1)CC=2C=CC=CC2,223.319,0.7018,2.0,0.0,165.53,0.37504,2.0,1,True
2-amino-3-(tert-butyldisulfanyl)propanoic acid,O=C(O)C(N)CSSC(C)(C)C,209.333,-0.7874,3.0,2.0,154.55,0.49427,5.0,1,True
"1H,2H,3H-pyrido[2,3-b][1,4]thiazin-2-one",O=C1NC2=CC=CN=C2SC1,166.204,-0.7599,3.0,1.0,118.98,0.44512,0.0,1,True
"2-amino-9,10-dihydroanthracene-9,10-dione",O=C1C=2C=CC=CC2C(=O)C3=CC(N)=CC=C13,223.23,2.3561,3.0,1.0,163.54,0.25284,0.0,1,True
"5H,6H,7H-thieno[3,2-b]thiopyran-7-one",O=C1C=2SC=CC2SCC1,170.256,1.1649,1.0,0.0,118.46,0.4296,0.0,1,True
N-(4-methylphenyl)(methylsulfanyl)carbothioamide,S=C(SC)NC1=CC=C(C=C1)C,197.325,2.577,1.0,1.0,159.44,0.35719,2.0,1,True
"8-hydroxy-8-(trifluoromethyl)-5,7-diazaspiro[3.5]nonane-6-thione",FC(F)(F)C1(O)NC(=S)NC2(CCC2)C1,240.248,1.2226,3.0,3.0,153.8,0.41625,1.0,1,True
3-azaniumyl-3-(4-fluorophenyl)propanoate,O=C(O)CC(N)C1=CC=C(F)C=C1,183.181,-1.4967,3.0,2.0,138.49,0.29901,3.0,1,True
"3-hydroxy-7-methyl-1,3-dihydro-2-benzofuran-1-one",O=C1OC(O)C=2C=CC=C(C12)C,164.16,0.8323,3.0,1.0,118.62,0.30467,0.0,1,True
N'-hydroxybenzenecarboximidamide,ON=C(N)C=1C=CC=CC1,136.154,1.3683,3.0,2.0,111.1,0.35896,1.0,1,True
but-3-ynoic acid,O=C(O)CC#C,84.0738,-0.2238,2.0,1.0,75.17,0.34775,1.0,1,True
"2-aminobutane-1,3-diol",OCC(N)C(O)C,105.136,-1.4821,3.0,3.0,85.74,0.48367,2.0,1,True
N-phenylmethoxycarbothioamide,S=C(OC)NC=1C=CC=CC1,167.231,1.9632,2.0,1.0,139.69,0.35407,2.0,1,True
pyrimidin-2-amine,N=1C=CC=NC1N,95.1047,-0.2114,3.0,1.0,79.3,0.46923,0.0,1,True
"N-(3-cyano-4,5,6,7-tetrahydro-1-benzothiophen-2-yl)acetamide",N#CC1=C(SC2=C1CCCC2)NC(=O)C,220.295,2.4119,3.0,1.0,173.92,0.3359,1.0,1,True
2-[(3-aminopropyl)amino]ethane-1-thiol,SCCNCCCN,134.246,-0.5268,2.0,2.0,118.14,0.41764,5.0,1,True
2-(thiolan-2-yl)acetic acid,O=C(O)CC1SCCC1,146.209,0.8031,2.0,1.0,109.13,0.3998,2.0,1,True
4-amino-6-methyl-decahydroquinolin-1-ium-2-yl,N[C]1[CH][CH][NH2+][C]2[CH][CH][C]([CH][C]12)C,160.219,0.4876,2.0,2.0,58.41,0.39394,0.0,1,True
4-methylpyridine-3-carboxamide,O=C(N)C=1C=NC=CC1C,136.154,0.0899,3.0,1.0,110.55,0.35531,1.0,1,True
2-[2-(azaniumylmethyl)cyclohexyl]acetate,O=C(O)CC1CCCCC1CN,171.239,-1.2826,3.0,2.0,140.18,0.29541,3.0,1,True
4-(aminomethyl)-2-methoxyphenol,OC1=CC=C(C=C1OC)CN,153.18,0.2488,3.0,2.0,124.15,0.30906,2.0,1,True
"2-iodobenzene-1,3,5-triol",IC=1C(O)=CC(O)=CC1O,252.003,1.0596,3.0,3.0,118.59,0.33139,0.0,1,True
5-ethoxythiomorpholin-3-one,O=C1NC(OCC)CSC1,161.224,-0.0951,3.0,1.0,122.74,0.42358,2.0,1,True
"N-methyl-1,3-benzothiazol-2-amine",N1=C(SC=2C=CC=CC12)NC,164.232,2.109,2.0,1.0,126.28,0.33885,1.0,1,True
"2-amino-4,6-difluorophenol",FC=1C=C(F)C(O)=C(N)C1,145.108,0.8382,2.0,2.0,100.83,0.28136,0.0,1,True
{[(adamantan-1-yl)amino](methyliminiumyl)methyl}sulfanide,SC(=NC)NC12CC3CC(CC(C3)C1)C2,224.371,2.2505,2.0,1.0,166.02,0.27455,1.0,1,True
(4-bromophenyl)thiourea,S=C(N)NC1=CC=C(Br)C=C1,231.117,1.8627,2.0,2.0,144.58,0.37854,1.0,1,True
N-(2-methylphenyl)(methylsulfanyl)carbothioamide,S=C(SC)NC=1C=CC=CC1C,197.325,2.577,1.0,1.0,159.44,0.35719,2.0,1,True
2-methoxypyridin-3-ol,OC1=CC=CN=C1OC,125.127,0.5944,3.0,1.0,100.63,0.33857,1.0,1,True
"tetramethyl-1λ⁵,2λ⁵-diphosphane-1,2-dithione",S=P(C)(C)P(=S)(C)C,186.219,1.4068,0.0,0.0,140.0,0.45686,1.0,1,True
"2,6-dimethylpyridin-3-ol",OC1=CC=C(N=C1C)C,123.154,1.1088,2.0,1.0,102.89,0.23394,0.0,1,True
6-amino-4H-chromen-4-one,O=C1C=COC2=CC=C(N)C=C12,161.16,0.7318,3.0,1.0,122.53,0.31266,0.0,1,True
{[(4-aminophenyl)iminiumyl](methylsulfanyl)methyl}sulfanide,SC(=NC1=CC=C(N)C=C1)SC,198.313,1.3432,2.0,1.0,150.36,0.4448,2.0,1,True
[(4-chlorophenyl)amino]thiourea,S=C(N)NNC1=CC=C(Cl)C=C1,201.681,2.1933,3.0,3.0,152.83,0.4331,2.0,1,True
4-[(hydroxyimino)methyl]phenol,ON=CC1=CC=C(O)C=C1,137.138,1.8686,3.0,2.0,110.72,0.34059,1.0,1,True
